iso3,country,gdp_usd,reserves_usd,energy_import_pct
USA,United States,27360935000000,240000000000,-10
CHN,China,17794782000000,3200000000000,20
DEU,Germany,4456081000000,295000000000,63
FRA,France,3030904000000,240000000000,45
JPN,Japan,4212945000000,1250000000000,87
IND,India,3567568000000,620000000000,32
BRA,Brazil,2173666000000,355000000000,-5
RUS,Russia,2021958000000,580000000000,-80
SAU,Saudi Arabia,1067550000000,450000000000,-300
ARE,UAE,504173000000,180000000000,-250
KOR,South Korea,1712793000000,420000000000,78
IDN,Indonesia,1371171000000,145000000000,-10
TUR,Turkey,1118252000000,140000000000,70
ZAF,South Africa,377782000000,62000000000,15
MEX,Mexico,1810452000000,220000000000,20
CAN,Canada,2140086000000,115000000000,-55
AUS,Australia,1728807000000,70000000000,-40
POL,Poland,811229000000,180000000000,50
KAZ,Kazakhstan,259292000000,98000000000,-150
IRN,Iran,404627000000,30000000000,-220
PRK,North Korea,18000000000,2000000000,25
VEN,Venezuela,102300000000,9000000000,-180
